date,name,iso,lat,long,confirmed,deaths,recovered,active,fatality_rate,last_update
2020-03-01,Iraq,IRQ,33.2232,43.6793,19,0,0,19,0.0,2020-03-01 16:43:02
2020-03-01,Norway,NOR,60.4720,8.4689,19,0,0,19,0.0,2020-03-01 20:43:02
2020-03-01,China,CHN,35.7452,95.9956,18,0,18,0,0.0,2020-02-21 04:43:02
2020-03-01,Vietnam,VNM,14.0583,108.2772,16,0,16,0,0.0,2020-02-25 08:53:02
2020-03-01,Austria,AUT,47.5162,14.5501,14,0,0,14,0.0,2020-03-01 23:33:03
2020-03-01,Canada,CAN,43.6532,-79.3832,14,0,2,12,0.0,2020-03-01 23:33:03
2020-03-01,Sweden,SWE,60.1282,18.6435,14,0,0,14,0.0,2020-03-01 23:23:02
2020-03-01,Israel,ISR,31.0461,34.8516,10,0,1,9,0.0,2020-03-01 23:23:02
2020-03-01,Lebanon,LBN,33.8547,35.8623,10,0,0,10,0.0,2020-03-01 15:33:03
2020-03-01,China,CHN,22.1667,113.5500,10,0,8,2,0.0,2020-02-27 12:43:02
2020-03-01,Netherlands,NLD,52.1326,5.2913,10,0,0,10,0.0,2020-03-01 15:33:03
2020-03-01,Australia,AUS,-28.0167,153.4000,9,0,1,8,0.0,2020-02-29 02:03:10
2020-03-01,US,USA,47.6062,-122.3321,9,1,1,7,0.1111,2020-03-01 21:13:12
2020-03-01,Canada,CAN,53.7267,-127.6476,8,0,3,5,0.0,2020-02-29 23:23:13
2020-03-01,Australia,AUS,-37.8136,144.9631,7,0,4,3,0.0,2020-02-29 02:03:10
2020-03-01,Croatia,HRV,45.1000,15.2000,7,0,0,7,0.0,2020-03-01 23:33:03
2020-03-01,Greece,GRC,39.0742,21.8243,7,0,0,7,0.0,2020-03-01 23:23:02
2020-03-01,Australia,AUS,-33.8688,151.2093,6,0,4,2,0.0,2020-03-01 23:33:03
2020-03-01,Ecuador,ECU,-1.8312,-78.1834,6,0,0,6,0.0,2020-03-01 23:33:03
2020-03-01,Finland,FIN,61.9241,25.7482,6,0,1,5,0.0,2020-03-01 23:23:02
2020-03-01,Oman,OMN,21.4735,55.9754,6,0,1,5,0.0,2020-02-29 12:33:03
2020-03-01,Mexico,MEX,23.6345,-102.5528,5,0,0,5,0.0,2020-03-01 23:33:03
2020-03-01,Denmark,DNK,56.2639,9.5018,4,0,0,4,0.0,2020-03-01 23:33:03
2020-03-01,Pakistan,PAK,30.3753,69.3451,4,0,0,4,0.0,2020-02-29 18:03:05
2020-03-01,Australia,AUS,-34.9285,138.6007,3,0,2,1,0.0,2020-02-29 02:03:10
2020-03-01,Azerbaijan,AZE,40.1431,47.5769,3,0,0,3,0.0,2020-03-01 02:43:03
2020-03-01,Czechia,CZE,49.8175,15.4730,3,0,0,3,0.0,2020-03-01 15:53:06
2020-03-01,Georgia,GEO,42.3154,43.3569,3,0,0,3,0.0,2020-03-01 15:43:03
2020-03-01,Iceland,ISL,64.9631,-19.0208,3,0,0,3,0.0,2020-03-01 23:33:03
2020-03-01,India,IND,20.5937,78.9629,3,0,3,0,0.0,2020-02-16 07:43:02
2020-03-01,Philippines,PHL,12.8797,121.7740,3,1,1,1,0.3333,2020-02-12 07:43:02
2020-03-01,Qatar,QAT,25.3548,51.1839,3,0,0,3,0.0,2020-03-01 23:33:03
2020-03-01,Romania,ROU,45.9432,24.9668,3,0,0,3,0.0,2020-02-28 15:33:03
2020-03-01,US,USA,41.8781,-87.6298,3,0,2,1,0.0,2020-03-01 03:53:02
2020-03-01,US,USA,37.3541,-121.9552,3,0,1,2,0.0,2020-02-29 01:33:03
2020-03-01,Australia,AUS,-31.9505,115.8605,2,1,0,1,0.5,2020-03-01 02:43:03
2020-03-01,Belgium,BEL,50.5039,4.4699,2,0,1,1,0.0,2020-03-01 12:43:02
2020-03-01,Brazil,BRA,-14.2350,-51.9253,2,0,0,2,0.0,2020-02-29 21:03:05
2020-03-01,Egypt,EGY,26.8206,30.8025,2,0,1,1,0.0,2020-03-01 23:33:03
2020-03-01,Russia,RUS,61.5240,105.3188,2,0,2,0,0.0,2020-02-12 14:43:03
2020-03-01,US,USA,38.4747,-121.3542,2,0,0,2,0.0,2020-02-27 20:33:02
2020-03-01,US,USA,36.5761,-120.9876,2,0,0,2,0.0,2020-02-03 03:53:02
2020-03-01,US,USA,32.7157,-117.1611,2,0,1,1,0.0,2020-02-21 05:43:02
2020-03-01,US,USA,48.0330,-121.8339,2,0,0,2,0.0,2020-03-01 20:23:06
2020-03-01,Afghanistan,AFG,33.9391,67.7100,1,0,0,1,0.0,2020-02-24 23:33:02
2020-03-01,Algeria,DZA,28.0339,1.6596,1,0,0,1,0.0,2020-02-25 23:43:03
2020-03-01,Armenia,ARM,40.0691,45.0382,1,0,0,1,0.0,2020-03-01 19:53:02
2020-03-01,Belarus,BLR,53.7098,27.9534,1,0,0,1,0.0,2020-02-28 16:23:03
2020-03-01,Cambodia,KHM,12.5657,104.9910,1,0,1,0,0.0,2020-02-12 07:43:02
2020-03-01,Canada,CAN,45.5017,-73.5673,1,0,0,1,0.0,2020-02-28 05:23:07
2020-03-01,Canada,CAN,42.9849,-81.2453,1,0,1,0,0.0,2020-02-12 18:53:03
2020-03-01,Dominican Republic,DOM,18.7357,-70.1627,1,0,0,1,0.0,2020-03-01 16:03:06
2020-03-01,Estonia,EST,58.5953,25.0136,1,0,0,1,0.0,2020-02-27 16:23:03
2020-03-01,Ireland,IRL,53.1424,-7.6921,1,0,0,1,0.0,2020-03-01 07:13:07
2020-03-01,Lithuania,LTU,55.1694,23.8813,1,0,0,1,0.0,2020-02-28 16:23:03
2020-03-01,Luxembourg,LUX,49.8153,6.1296,1,0,0,1,0.0,2020-03-01 07:13:07
